,"European Union Emissions Trading System (until 2018)",,,," ","European Union Emissions Trading System (from 2019, download)",,,,," "
Date,"Exchange rate EUR/EUR","Exchange rate EUR/USD","Market Currency","Primary Market"," ","Exchange rate EUR/EUR","Exchange rate EUR/USD","Market Currency","Primary Market","Secondary Market"," "
2008-08-01,1,1.497538095,EUR,," ",,,,,," "
2008-08-04,1,1.497538095,EUR,," ",,,,,," "
2008-08-05,1,1.497538095,EUR,," ",,,,,," "
2008-08-06,1,1.497538095,EUR,," ",,,,,," "
2008-08-07,1,1.497538095,EUR,," ",,,,,," "
2008-08-08,1,1.497538095,EUR,," ",,,,,," "
2008-08-11,1,1.497538095,EUR,," ",,,,,," "
2008-08-12,1,1.497538095,EUR,," ",,,,,," "
2008-08-13,1,1.497538095,EUR,," ",,,,,," "
2008-08-14,1,1.497538095,EUR,," ",,,,,," "
2008-08-15,1,1.497538095,EUR,," ",,,,,," "
2008-08-18,1,1.497538095,EUR,," ",,,,,," "
2008-08-19,1,1.497538095,EUR,," ",,,,,," "
2008-08-20,1,1.497538095,EUR,," ",,,,,," "
2008-08-21,1,1.497538095,EUR,," ",,,,,," "
2008-08-22,1,1.497538095,EUR,," ",,,,,," "
2008-08-25,1,1.497538095,EUR,," ",,,,,," "
2008-08-26,1,1.497538095,EUR,," ",,,,,," "
2008-08-27,1,1.497538095,EUR,," ",,,,,," "
2008-08-28,1,1.497538095,EUR,," ",,,,,," "
2008-08-29,1,1.497538095,EUR,," ",,,,,," "
2008-09-01,1,1.43695,EUR,," ",,,,,," "
2008-09-02,1,1.43695,EUR,," ",,,,,," "
2008-09-03,1,1.43695,EUR,," ",,,,,," "
2008-09-04,1,1.43695,EUR,," ",,,,,," "
2008-09-05,1,1.43695,EUR,," ",,,,,," "
2008-09-08,1,1.43695,EUR,," ",,,,,," "
2008-09-09,1,1.43695,EUR,," ",,,,,," "
2008-09-10,1,1.43695,EUR,," ",,,,,," "
2008-09-11,1,1.43695,EUR,," ",,,,,," "
2008-09-12,1,1.43695,EUR,," ",,,,,," "
2008-09-15,1,1.43695,EUR,," ",,,,,," "
2008-09-16,1,1.43695,EUR,," ",,,,,," "
2008-09-17,1,1.43695,EUR,," ",,,,,," "
2008-09-18,1,1.43695,EUR,," ",,,,,," "
2008-09-19,1,1.43695,EUR,," ",,,,,," "
2008-09-22,1,1.43695,EUR,," ",,,,,," "
2008-09-23,1,1.43695,EUR,," ",,,,,," "
2008-09-24,1,1.43695,EUR,," ",,,,,," "
2008-09-25,1,1.43695,EUR,," ",,,,,," "
2008-09-26,1,1.43695,EUR,," ",,,,,," "
2008-09-29,1,1.43695,EUR,," ",,,,,," "
2008-09-30,1,1.43695,EUR,," ",,,,,," "
2008-10-01,1,1.332208696,EUR,," ",,,,,," "
2008-10-02,1,1.332208696,EUR,," ",,,,,," "
2008-10-06,1,1.332208696,EUR,," ",,,,,," "
2008-10-07,1,1.332208696,EUR,," ",,,,,," "
2008-10-08,1,1.332208696,EUR,," ",,,,,," "
2008-10-09,1,1.332208696,EUR,," ",,,,,," "
2008-10-10,1,1.332208696,EUR,," ",,,,,," "
2008-10-13,1,1.332208696,EUR,," ",,,,,," "
2008-10-14,1,1.332208696,EUR,," ",,,,,," "
2008-10-15,1,1.332208696,EUR,," ",,,,,," "
2008-10-16,1,1.332208696,EUR,," ",,,,,," "
2008-10-17,1,1.332208696,EUR,," ",,,,,," "
2008-10-20,1,1.332208696,EUR,," ",,,,,," "
2008-10-21,1,1.332208696,EUR,," ",,,,,," "
2008-10-22,1,1.332208696,EUR,," ",,,,,," "
2008-10-23,1,1.332208696,EUR,," ",,,,,," "
2008-10-24,1,1.332208696,EUR,," ",,,,,," "
2008-10-27,1,1.332208696,EUR,," ",,,,,," "
2008-10-28,1,1.332208696,EUR,," ",,,,,," "
2008-10-29,1,1.332208696,EUR,," ",,,,,," "
2008-10-30,1,1.332208696,EUR,," ",,,,,," "
2008-10-31,1,1.332208696,EUR,," ",,,,,," "
2008-11-03,1,1.273215,EUR,," ",,,,,," "
2008-11-04,1,1.273215,EUR,," ",,,,,," "
2008-11-05,1,1.273215,EUR,," ",,,,,," "
2008-11-06,1,1.273215,EUR,," ",,,,,," "
2008-11-07,1,1.273215,EUR,," ",,,,,," "
2008-11-10,1,1.273215,EUR,," ",,,,,," "
2008-11-11,1,1.273215,EUR,," ",,,,,," "
2008-11-12,1,1.273215,EUR,," ",,,,,," "
2008-11-13,1,1.273215,EUR,," ",,,,,," "
2008-11-14,1,1.273215,EUR,," ",,,,,," "
2008-11-17,1,1.273215,EUR,," ",,,,,," "
2008-11-18,1,1.273215,EUR,," ",,,,,," "
2008-11-19,1,1.273215,EUR,," ",,,,,," "
2008-11-20,1,1.273215,EUR,," ",,,,,," "
2008-11-21,1,1.273215,EUR,," ",,,,,," "
2008-11-24,1,1.273215,EUR,," ",,,,,," "
2008-11-25,1,1.273215,EUR,," ",,,,,," "
2008-11-26,1,1.273215,EUR,," ",,,,,," "
2008-11-27,1,1.273215,EUR,," ",,,,,," "
2008-11-28,1,1.273215,EUR,," ",,,,,," "
2008-12-01,1,1.344942857,EUR,," ",,,,,," "
2008-12-02,1,1.344942857,EUR,," ",,,,,," "
2008-12-03,1,1.344942857,EUR,," ",,,,,," "
2008-12-04,1,1.344942857,EUR,," ",,,,,," "
2008-12-05,1,1.344942857,EUR,," ",,,,,," "
